,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
79,Rpl36a,0.9775840597758406,0.8626782393056417,1.1331966140268996,1.9705065488815308,1.4258908033370972,1.7239458560943604,0.0002883642460605,26,[14]
138,Adgrd1,0.9775840597758406,0.8933663980161191,1.0942700127817009,1.8522473573684688,1.4294415712356567,1.5262378454208374,0.017084971921689,26,[14]
127,Pde6a,0.975093399750934,0.8822070675759455,1.1052885831329982,1.8647892475128172,1.4201643466949463,1.5599048137664795,0.0129773089542031,26,[14]
106,Rpl31,0.9738480697384808,0.90700557966522,1.073695787073253,2.121012926101685,1.632314682006836,1.630192756652832,0.0043256043130785,26,[14]
114,Rpl13,0.9738480697384808,0.8753874767513949,1.112476583915134,1.9732582569122317,1.4784159660339355,1.6402394771575928,0.0055205920061941,26,[14]
81,Rpl23,0.9738480697384808,0.865778053316801,1.1248241578862652,1.935668349266052,1.4093652963638306,1.692663073539734,0.0003219577724129,26,[14]
152,Rpl27,0.9688667496886676,0.8887166769993801,1.0901863043235582,1.9046335220336916,1.468973994255066,1.5459822416305542,0.0263832460799093,26,[14]
43,Jarid2,0.9688667496886676,0.8691878487290763,1.1146805044563628,1.920150637626648,1.3713716268539429,1.731137990951538,3.448369855211968e-07,26,[14]
109,Gpx1,0.9676214196762142,0.8853068815871048,1.092978536370962,1.838297128677368,1.3659968376159668,1.603678822517395,0.004688217587207,26,[14]
86,Hspa8,0.9663760896637608,0.902975821450713,1.0702125867680372,1.976288199424744,1.479949951171875,1.6426951885223389,0.0009267616219914,26,[14]
28,Atp5b,0.9663760896637608,0.8357098574085555,1.156353585035346,1.74125337600708,1.173997402191162,1.7634215354919434,1.568277989756166e-10,26,[14]
59,Rpl18,0.9663760896637608,0.8332300061996281,1.1597951135622369,1.865077257156372,1.3007057905197144,1.758342146873474,9.330878744031846e-06,26,[14]
75,Rps23,0.9651307596513076,0.8245505269683819,1.1704931694116985,1.8819693326950075,1.3202791213989258,1.753633975982666,0.0001783785332365,26,[14]
20,Gphn,0.9651307596513076,0.7811531308121513,1.2355205677123484,1.8741329908370967,1.160482406616211,2.0414299964904785,8.262315019651144e-13,26,[14]
63,Rpl18a,0.9638854296388544,0.8546187228766274,1.1278543329760404,2.051546096801758,1.4601095914840698,1.806581735610962,1.619282699197818e-05,26,[14]
119,Rps3a1,0.9638854296388544,0.8682579045257285,1.110137235278452,1.9363099336624143,1.452419638633728,1.6223735809326172,0.0080812194619812,26,[14]
93,Trpm4,0.9638854296388544,0.8415995040297582,1.1453018033204212,1.6592472791671753,1.199465274810791,1.583728551864624,0.0016757615658795,26,[14]
111,Uso1,0.962640099626401,0.8552386856788593,1.125580631168818,1.7449898719787598,1.2883814573287964,1.5787105560302734,0.0051694848916075,26,[14]
