FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
0.013096391614646045,4,RSRP1,18.621935679469626,60.19718974018586,-1217.2375696004528,-1.5707312636613837,0.005574735349387066,SE,3639,1.7206192266664166e-05,0.07668606124095032,0.021768808364868164,2467.2729959913545,-1231.363809747088,14.126240146635155,0.0001709424992910602,0.0012783464380828765
0.0116530892164813,4,TMEM50A,18.621935679469626,67.75189876714728,-2058.4920558421654,-2.202106575187018,0.00977994902550679,SE,3639,2.9553095164120843e-05,0.1653772996787616,0.0231783390045166,4149.781968474779,-2065.957281086668,7.465225244502562,0.006290216061572207,0.03319069230030638
0.06438754336510924,4,LDLRAP1,18.621935679469626,11.607729344309105,911.5784887758491,-0.7705262599867705,0.004080751403624177,SE,3639,0.00014901711261621904,0.03374952850003529,0.009388208389282227,-1790.3591207612496,840.9103180597817,70.66817071606738,0.0,0.0
0.10852829156067421,4,STMN1,18.621935679469626,6.5617205663868985,-617.5689449091851,-4.08424653994767,0.04366759814037847,SE,3639,0.00015654953326596767,0.014788305614244854,0.009640932083129883,1267.9357466088188,-746.0865718832806,128.5176269740955,0.0,0.0
0.019491056639731486,4,CD52,18.621935679469626,40.18549377075493,1849.3480324768525,-0.7407547107924739,0.0013903066502564967,SE,3639,5.3282946310996444e-05,0.11006147016553741,0.019445180892944336,-3665.898208163256,1838.7893828091778,10.558649667674672,0.0011564564685837553,0.0072701918160966205
0.03966643608456243,4,HMGN2,18.621935679469626,19.33980357970418,-2456.5135878541587,-2.215588419288086,0.019963288251078088,SE,3639,5.0307984192381196e-05,0.02722302047833723,0.008895397186279297,4945.825032498766,-2513.6675783308165,57.15399047665778,4.030109579389318e-14,8.082633561333638e-13
0.01201509325632571,4,TRNP1,18.621935679469626,65.6865265392785,-1311.8174695993257,-1.9196383226307236,0.007256737118529336,SE,3639,2.083569927246276e-05,0.10983893495122192,0.02300095558166504,2656.4327959891,-1323.7697014982762,11.952231898950458,0.0005458195789836973,0.0036853426445308535
0.03315776736568974,4,WASF2,18.621935679469626,23.292894818090122,-782.1670571680661,-0.9610906035334835,0.005378241013733355,SE,3639,2.7484064784207594e-05,0.02073503587086736,0.009983062744140625,1597.1319711265808,-846.5107278527084,64.34367068464235,9.992007221626409e-16,2.218668598595125e-14
0.022318442458158182,4,ATP5IF1,18.621935679469626,34.99344286436857,-2255.093132495811,-5.00734178458644,0.04603062670703968,SE,3639,2.1683936452242972e-05,0.03455706176395655,0.006727933883666992,4542.98412178207,-2300.070873432087,44.97774093627595,1.9928725336626485e-11,3.1825944890998717e-10
0.011548568260361741,4,PTPRU,18.621935679469626,68.37232091081225,5.475758808976025,-1.1699175981392858,0.002854598479004006,SE,3639,2.5404785380997534e-05,0.1446862695696287,0.016933917999267578,21.84633917249659,-5.411323191471183,10.887082000447208,0.0009683726669074133,0.006180445728970146
0.014808993371464215,4,LAPTM5,18.621935679469626,53.143240558019784,-607.6521273444105,-0.8794321598282191,0.0027056089199238,SE,3639,1.2452447093321257e-05,0.043711397962994815,0.018986225128173828,1248.1021114792695,-631.2297261198032,23.577598775392744,1.1997615304570886e-06,1.213900134351364e-05
0.039507099971338853,4,COL16A1,18.621935679469626,19.421024708087103,-1308.467924282052,-1.4002970338597907,0.009479421385711756,SE,3639,3.3600444706988834e-05,0.01831738390734098,0.00810551643371582,2649.733705354553,-1373.6476168546578,65.17969257260575,6.661338147750939e-16,1.497555197056726e-14
0.08107938671007688,4,PTP4A2,18.621935679469626,9.053586848085988,-2522.4708535735917,-2.306059584846573,0.03522829699313972,SE,3639,8.749851439727988e-05,0.013334921547887842,0.007726430892944336,5077.739563937632,-2688.5721604800083,166.10130690641654,0.0,0.0
0.019052966803130622,4,KIAA1522,18.621935679469626,41.12785696782289,-554.1834545234706,-1.2377241703025887,0.0043295279382320195,SE,3639,6.910181605924446e-05,0.14910929111105356,0.019668102264404297,1141.1647658373897,-565.3780408525486,11.194586329077993,0.0008203632448003928,0.005316732316229721
0.013495747543707057,4,YARS,18.621935679469626,58.392241837327106,-2310.4606527821206,-2.9928050226973455,0.016996038291671383,SE,3639,1.4359687461974055e-05,0.06036694604071726,0.023874282836914062,4653.71916235469,-2328.729950523008,18.269297740887396,1.9177322983732203e-05,0.00016535970033318585
0.009936066905460646,4,S100PBP,18.621935679469626,79.59794690220843,857.8480625071743,-0.968280589823587,0.0017963570368729597,SE,3639,1.5850162075497868e-05,0.12113938195947645,0.0200502872467041,-1682.8982682239,849.1607301178815,8.687332389292806,0.0032042926128527105,0.01819634513692421
0.012958516987493575,4,PHC2,18.621935679469626,60.84616856815241,-1715.0468474486188,-1.8906047214651778,0.007788451529624818,SE,3639,2.8830496890367424e-05,0.13116869915756157,0.021903276443481445,3462.8915516876864,-1727.461766381634,12.414918933015315,0.0004259175017410355,0.002943385418317696
0.028681688462104882,4,DLGAP3,18.621935679469626,27.0526613046001,-1389.110037040261,-1.6527784914245607,0.00912179160230234,SE,3639,3.52045154436179e-05,0.03486057376074024,0.00920414924621582,2811.0179308709708,-1422.2744691452824,33.16443210502143,8.468548529094733e-09,1.0752671125322396e-07
0.009109183342233517,4,C1orf216,18.621935679469626,86.89594157238628,-1964.6706343402902,-2.4954845626567894,0.010736024529193202,SE,3639,1.2378896440621132e-05,0.1121814603001636,0.021456480026245117,3962.1391254710293,-1972.7995904948048,8.128956154514526,0.004356382099856004,0.02389582271384355
0.06332011355523225,4,C1orf122,18.621935679469626,11.816875034633401,-2572.6254822029255,-2.987054301156334,0.036096181488823285,SE,3639,8.542291787713364e-05,0.019920995189089224,0.007769584655761719,5178.048821196299,-2665.1151210409676,92.48963883804208,0.0,0.0
0.018307248464228307,4,RHBDL2,18.621935679469626,42.83567765594735,3297.525332586323,-0.6889584190481995,0.0009654771808846872,SE,3639,1.4039798358196596e-05,0.03271380841140351,0.022490739822387695,-6562.252808382198,3266.648309292243,30.877023294080118,2.749073180208228e-08,3.317656588966155e-07
0.014006210968808445,4,NDUFS5,18.621935679469626,56.2349934441013,-2108.6599196389125,-4.499416860690058,0.03386243970550459,SE,3639,1.316366531996453e-05,0.05148666015100256,0.05470085144042969,4250.117696068273,-2131.3125957429284,22.65267610401588,1.940897058960722e-06,1.916449834231206e-05
