Unnamed: 0,combined_pvalue,adjusted_pvalue,genes
225,903,5.55e-17,3.0053560136053704e-15,IPO13
226,905,3.05311331771918e-13,1.2141930716212699e-11,ATP6V0B
230,914,0.0003841358671925,0.0081687935344924,RNF220
231,919,5.55e-17,3.0053560136053704e-15,RPS8
234,936,5.55e-17,3.0053560136053704e-15,PRDX1
235,937,0.0007891427484265,0.016201971514718,AKR1A1
236,938,8.258332906407871e-09,2.58708782315912e-07,NASP
237,940,0.0019723749708011,0.0386055253867898,GPBP1L1
239,950,8.46426484457652e-10,2.82346308890552e-08,POMGNT1
241,954,5.55e-17,3.0053560136053704e-15,UQCRH
242,956,5.55e-17,3.0053560136053704e-15,FAAH
244,966,3.774758283725531e-15,1.6384292050792998e-13,EFCAB14
246,994,6.66133814775094e-16,3.00640288920226e-14,BEND5
247,997,5.55e-17,3.0053560136053704e-15,ELAVL4
249,1008,5.55e-17,3.0053560136053704e-15,RNF11
250,1012,2.2204460492503099e-16,1.00733054830801e-14,EPS15
254,1025,0.000323117326924,0.0069386706491859,ZFYVE9
255,1035,7.88212184410497e-09,2.47429468495019e-07,ZYG11B
261,1065,5.55e-17,3.0053560136053704e-15,TMEM59
262,1071,0.0018821633454354,0.0369105804390199,MRPL37
263,1072,3.774758283725531e-15,1.6384292050792998e-13,SSBP3
264,1086,5.55e-17,3.0053560136053704e-15,DHCR24
266,1102,5.55e-17,3.0053560136053704e-15,PLPP3
268,1117,1.11022302462516e-16,5.3329264322189e-15,JUN
269,1134,5.55e-17,3.0053560136053704e-15,NFIA
274,1169,5.55e-17,3.0053560136053704e-15,DNAJC6
275,1174,0.000151469855368,0.0033930733495681,PDE4B
278,1193,0.0018847820742258,0.0369501039934688,WLS
280,1207,9.59930514410345e-06,0.0002411413253964,SRSF11
283,1220,8.826273045769991e-14,3.59653197262667e-12,NEGR1
284,1233,0.0008729875756329,0.0178158937922882,ERICH3
287,1254,3.6859404417555203e-14,1.53149780105717e-12,ST6GALNAC5
289,1257,5.55e-17,3.0053560136053704e-15,AK5
290,1260,0.0015655378781427,0.0310423113902468,USP33
293,1281,0.0001399812254789,0.003148384006213,ADGRL2
294,1290,5.55e-17,3.0053560136053704e-15,TTLL7
295,1293,0.0001243206746222,0.0028085687453239,PRKACB
296,1298,2.2204460492503099e-16,1.00733054830801e-14,GNG5
297,1303,2.2204460492503099e-16,1.00733054830801e-14,SSX2IP
299,1313,2.20701235065235e-12,8.442653766161859e-11,DDAH1
300,1319,0.0020743927605779,0.040434339663299,ZNHIT6
302,1328,4.8818149062102e-06,0.0001254650645496,SH3GLB1
303,1330,2.93246025240279e-08,8.94404495380633e-07,SELENOF
305,1336,5.55e-17,3.0053560136053704e-15,LMO4
307,1357,5.55e-17,3.0053560136053704e-15,LRRC8D
308,1369,2.61457522299224e-13,1.0418203141536299e-11,EPHX4
309,1371,5.55e-17,3.0053560136053704e-15,BTBD8
310,1378,5.55e-17,3.0053560136053704e-15,RPL5
312,1381,3.17471610615794e-05,0.0007595047206939,TMED5
315,1394,6.38857303867368e-05,0.0014843079241379,ABCD3
317,1398,1.11022302462516e-16,5.3329264322189e-15,CNN3
319,1415,9.38983266696169e-08,2.74367156418799e-06,PTBP2
320,1425,2.63089550145423e-11,9.54545651788931e-10,PLPPR4
322,1447,3.64153152077051e-14,1.5140732070291499e-12,EXTL2
324,1457,0.0002277061551017,0.004984167254387,OLFM3
325,1483,6.18958823817017e-06,0.0001576858933301,FAM102B
326,1488,5.55e-17,3.0053560136053704e-15,STXBP3
327,1493,0.0023722897497331,0.0458759654041478,CLCC1
328,1494,1.99030747438655e-09,6.49413704006075e-08,WDR47
329,1495,0.0001106037947343,0.0025069763122704,TAF13
332,1501,1.2096355672675e-07,3.51105506196256e-06,SARS
333,1502,0.0024739158458786,0.0476906514719988,CELSR2
334,1503,5.55e-17,3.0053560136053704e-15,PSRC1
335,1505,5.55e-17,3.0053560136053704e-15,SORT1
338,1515,7.32636173950141e-12,2.74265137200006e-10,AMPD2
341,1529,1.5543122344752201e-15,6.8140828070943e-14,AHCYL1
343,1535,5.55e-17,3.0053560136053704e-15,SLC6A17
346,1550,5.55e-17,3.0053560136053704e-15,KCNA2
347,1568,1.02573576475917e-05,0.0002568293149695,ATP5PB
348,1572,5.55e-17,3.0053560136053704e-15,RAP1A
349,1577,7.88743937454317e-05,0.0018153346913473,KCND3
350,1585,4.54258922994999e-05,0.0010729179168567,CAPZA1
351,1588,5.55e-17,3.0053560136053704e-15,RHOC
352,1595,4.44089209850063e-16,2.01168082872163e-14,SLC16A1
357,1634,5.55e-17,3.0053560136053704e-15,ATP1A1
358,1651,1.42641232159235e-10,4.96926043696475e-09,MAN1A2
359,1669,5.55e-17,3.0053560136053704e-15,PHGDH
365,1723,7.3069078978194e-05,0.001689340611148,RBM8A
366,1727,3.07849059582033e-05,0.0007376367222467,ANKRD34A
367,1730,5.55e-17,3.0053560136053704e-15,TXNIP
369,1791,5.55e-17,3.0053560136053704e-15,SV2A
374,1800,2.68088773403008e-10,9.182832461521551e-09,APH1A
375,1803,0.0005855425994414,0.012214283408479,MRPS21
377,1811,1.02598077811322e-08,3.19123697859381e-07,MCL1
378,1812,6.34770014329433e-12,2.3864968549521e-10,ENSA
379,1820,5.55e-17,3.0053560136053704e-15,CERS2
380,1828,1.19060661329939e-08,3.68458045398128e-07,CDC42SE1
381,1829,5.55e-17,3.0053560136053704e-15,MLLT11
386,1846,1.3689627209601e-10,4.7718348855737e-09,SELENBP1
390,1854,3.60550219680178e-08,1.08883823134977e-06,CELF3
392,1870,5.55e-17,3.0053560136053704e-15,S100A10
393,1872,5.55e-17,3.0053560136053704e-15,S100A11
394,1932,1.35848489379864e-06,3.65711788738607e-05,S100A6
395,1937,5.55e-17,3.0053560136053704e-15,S100A16
396,1939,5.55e-17,3.0053560136053704e-15,S100A13
397,1940,5.55e-17,3.0053560136053704e-15,S100A1
398,1942,2.05751019966005e-05,0.0004988548491695,CHTOP
399,1943,0.0002133692406049,0.0046887857708033,SNAPIN
405,1961,5.55e-17,3.0053560136053704e-15,RPS27
411,1977,2.84490209168098e-10,9.712039352573661e-09,CHRNB2
414,1983,1.50871918291884e-07,4.333978569795e-06,PBXIP1
417,1994,5.55e-17,3.0053560136053704e-15,ADAM15
418,1997,0.0013432818988097,0.0267975033959547,EFNA3
419,1998,5.55e-17,3.0053560136053704e-15,EFNA1
420,2000,3.41652055535491e-08,1.03585320977632e-06,DPM3
421,2001,2.2204460492503099e-16,1.00733054830801e-14,KRTCAP2
422,2004,5.55e-17,3.0053560136053704e-15,MUC1
426,2011,1.72673365383957e-07,4.94864589830148e-06,SCAMP3
429,2017,5.1923146671129e-08,1.5466905824011e-06,RUSC1
434,2030,6.25062626069539e-05,0.0014533603547087,ARHGEF2
438,2038,5.55e-17,3.0053560136053704e-15,LMNA
440,2044,5.55e-17,3.0053560136053704e-15,PAQR6
442,2049,0.000134826308471,0.0030357869330743,CCT3
443,2053,5.55e-17,3.0053560136053704e-15,C1orf61
