Unnamed: 0,combined_pvalue,adjusted_pvalue,genes
869,4200,1.11022302462516e-15,4.91291994297623e-14,EIF5B
871,4206,1.01696429055664e-12,3.9570043076165496e-11,LONRF2
872,4207,0.0006161736156891,0.012827026065441,CHST10
874,4216,2.53463916521923e-12,9.671785409385409e-11,RPL31
875,4221,5.55e-17,3.0053560136053704e-15,CREG2
876,4224,5.55e-17,3.0053560136053704e-15,MAP4K4
877,4254,7.771561172376101e-16,3.49716152884304e-14,POU3F3
880,4268,4.480737780809821e-09,1.42555619868711e-07,NCK2
881,4292,8.455902644755039e-12,3.15393231546278e-10,GCC2
882,4296,0.0001433334567968,0.0032225971545895,RANBP2
883,4310,1.84116277779367e-10,6.381476648780961e-09,SMIM37
884,4311,2.3252733072354197e-11,8.456632670525e-10,LINC01106
886,4334,5.55e-17,3.0053560136053704e-15,FBLN7
887,4336,0.0016795484793993,0.033170828996045,ZC3H6
890,4343,4.96871239297203e-06,0.0001275912884724,SLC20A1
895,4397,5.55e-17,3.0053560136053704e-15,DBI
897,4407,0.0013500750480378,0.0269242517006267,RALB
900,4436,5.55e-17,3.0053560136053704e-15,BIN1
902,4442,3.56598910400407e-07,1.00458345133147e-05,IWS1
904,4455,5.55e-17,3.0053560136053704e-15,HS6ST1
905,4465,0.0004953076939766,0.0104386662388629,SMPD4
911,4487,5.44214070181681e-05,0.0012740825682865,PLEKHB2
913,4512,0.001987197970394,0.0388584013098726,MGAT5
914,4513,2.86407355609697e-06,7.50890961294312e-05,TMEM163
917,4520,5.55e-17,3.0053560136053704e-15,R3HDM1
918,4521,1.02757854114621e-06,2.79827967800289e-05,UBXN4
921,4555,5.55e-17,3.0053560136053704e-15,ZEB2
927,4597,1.3756159544797701e-09,4.53193176167116e-08,CACNB4
928,4600,5.55e-17,3.0053560136053704e-15,FMNL2
930,4610,8.16036349604587e-10,2.72803276873002e-08,KCNJ3
932,4618,2.2204460492503099e-16,1.00733054830801e-14,ERMN
933,4628,5.55e-17,3.0053560136053704e-15,PKP4
936,4651,5.55e-17,3.0053560136053704e-15,TBR1
937,4653,9.25926002537381e-14,3.7679517087707395e-12,SLC4A10
938,4661,5.55e-17,3.0053560136053704e-15,GCA
939,4671,5.55e-17,3.0053560136053704e-15,SCN2A
940,4672,7.7791306396513e-08,2.28831542105659e-06,CSRNP3
941,4679,5.55e-17,3.0053560136053704e-15,SCN1A
943,4688,2.29707265431145e-06,6.07175508982236e-05,CERS6
948,4715,5.55e-17,3.0053560136053704e-15,GAD1
951,4722,5.55e-17,3.0053560136053704e-15,DYNC1I2
953,4736,1.09547926285813e-11,4.07357868289543e-10,RAPGEF4
955,4746,0.0007373179244296,0.0152042110749411,OLA1
957,4751,0.0005080984402596,0.0106810199088259,GPR155
958,4757,5.55e-17,3.0053560136053704e-15,CHN1
960,4760,5.55e-17,3.0053560136053704e-15,ATP5MC3
964,4791,5.55e-17,3.0053560136053704e-15,NFE2L2
969,4819,6.18222534276569e-08,1.82999493631258e-06,SESTD1
970,4821,2.84866829902697e-07,8.08080799675619e-06,ZNF385B
971,4825,5.19286946776276e-10,1.75128613496214e-08,UBE2E3
972,4836,2.03485006622373e-11,7.42687314050883e-10,SSFA2
973,4838,5.55e-17,3.0053560136053704e-15,PDE1A
975,4841,5.55e-17,3.0053560136053704e-15,NCKAP1
977,4855,5.55e-17,3.0053560136053704e-15,ITGAV
978,4857,3.9455216871431295e-11,1.4147578622486501e-09,FAM171B
979,4865,5.55e-17,3.0053560136053704e-15,COL3A1
980,4866,5.55e-17,3.0053560136053704e-15,COL5A2
983,4880,1.11022302462516e-16,5.3329264322189e-15,INPP1
984,4881,2.01411556099984e-07,5.75072547377768e-06,MFSD6
985,4888,5.55e-17,3.0053560136053704e-15,GLS
987,4898,5.55e-17,3.0053560136053704e-15,TMEFF2
988,4910,5.55e-17,3.0053560136053704e-15,SLC39A10
992,4925,0.0018576573064796,0.036453344424985,COQ10B
994,4927,9.73975073925715e-08,2.83914346003239e-06,HSPE1
996,4934,4.928502050916e-12,1.86437658726562e-10,PLCL1
997,4939,2.60160049059266e-09,8.42141406529427e-08,SATB2
999,4947,2.3783816027744803e-09,7.71107853893835e-08,SPATS2L
1001,4954,5.55e-17,3.0053560136053704e-15,CLK1
1002,4959,0.000398884366096,0.0084735992387661,FAM126B
1003,4960,5.709988037949639e-12,2.1546772498626002e-10,NDUFB3
1004,4967,2.16137977737674e-06,5.72791659930141e-05,TRAK2
1005,4972,0.0009727824163541,0.0196884866618071,ALS2
1006,4979,6.0744642427224e-08,1.80157966645345e-06,SUMO1
1010,4990,6.6011569543889e-09,2.08071599633023e-07,ABI2
1011,4992,8.59389138296862e-07,2.3549293395791e-05,RAPH1
1012,5006,0.0002328072793946,0.0050921838116166,NDUFS1
1013,5008,4.54372081304388e-06,0.0001171199153346,EEF1B2
1014,5011,8.992806499463771e-15,3.85145438662523e-13,ADAM23
1016,5040,5.55e-17,3.0053560136053704e-15,C2orf80
1018,5045,5.55e-17,3.0053560136053704e-15,MAP2
1019,5046,0.0002231854292525,0.0048974673482607,UNC80
1020,5054,5.55e-17,3.0053560136053704e-15,LANCL1
1024,5073,5.55e-17,3.0053560136053704e-15,FN1
1025,5087,6.01378383469076e-06,0.0001534624471253,XRCC5
1027,5095,5.55e-17,3.0053560136053704e-15,RPL37A
1028,5098,1.3411494137471899e-13,5.42879926695542e-12,IGFBP2
1029,5099,5.55e-17,3.0053560136053704e-15,IGFBP5
1030,5116,1.75142637726111e-07,5.01237621324541e-06,ARPC2
1032,5119,0.0018474335618574,0.0362759673137439,PNKD
1033,5120,5.55e-17,3.0053560136053704e-15,TMBIM1
1035,5136,5.55e-17,3.0053560136053704e-15,CYP27A1
1036,5143,1.11022302462516e-16,5.3329264322189e-15,CDK5R2
1037,5154,1.1945555655756799e-11,4.42855314353091e-10,CNPPD1
1038,5155,7.56700763382412e-07,2.0866094078115e-05,RETREG2
1041,5163,5.55e-17,3.0053560136053704e-15,TUBA4A
1042,5165,5.55e-17,3.0053560136053704e-15,DNAJB2
1043,5166,5.55e-17,3.0053560136053704e-15,PTPRN
1047,5181,6.52849673212774e-05,0.0015145192990307,OBSL1
1048,5186,1.55917501132308e-11,5.7455207034726e-10,SLC4A3
1049,5194,5.55e-17,3.0053560136053704e-15,EPHA4
1051,5204,1.3623131760454e-05,0.0003354800656837,ACSL3
1052,5209,5.55e-17,3.0053560136053704e-15,SCG2
1055,5214,5.55e-17,3.0053560136053704e-15,SERPINE2
1059,5249,3.16264963544644e-05,0.0007569136622218,PID1
1060,5250,5.55e-17,3.0053560136053704e-15,DNER
1062,5261,2.43013003597969e-06,6.41238988527295e-05,CAB39
1063,5262,5.55e-17,3.0053560136053704e-15,ITM2C
1065,5270,5.94149545736222e-05,0.0013841103968577,PSMD1
1067,5279,1.11022302462516e-16,5.3329264322189e-15,PTMA
1071,5297,5.55e-17,3.0053560136053704e-15,EFHD1
1073,5300,5.55e-17,3.0053560136053704e-15,SNORC
1074,5301,5.55e-17,3.0053560136053704e-15,NGEF
1076,5328,1.22124532708767e-15,5.39641365165008e-14,ARL4C
1077,5333,5.55e-17,3.0053560136053704e-15,AGAP1
1078,5345,0.0017153727488352,0.0338347093000851,COPS8
1079,5351,5.55e-17,3.0053560136053704e-15,MLPH
1080,5356,3.57115879746628e-05,0.0008493710931407,LRRFIP1
1081,5358,1.2779999281065099e-11,4.72646062813175e-10,RAMP1
1084,5366,2.94006981726991e-06,7.70155966677089e-05,HES6
1087,5387,5.55e-17,3.0053560136053704e-15,COPS9
1088,5390,2.00712646503121e-09,6.54552818147254e-08,GPC1
1091,5400,9.885685381405551e-09,3.07956105458358e-07,KIF1A
1092,5408,0.001258902117414,0.0251798028406593,MTERF4
1093,5410,2.75347755707145e-08,8.40651824552284e-07,PPP1R7
1095,5413,5.55e-17,3.0053560136053704e-15,SEPT2
1097,5418,5.55e-17,3.0053560136053704e-15,BOK
1101,5442,5.55e-17,3.0053560136053704e-15,CHL1
1103,5461,5.55e-17,3.0053560136053704e-15,ITPR1
1104,5465,0.0004022848447406,0.008539912124241,BHLHE40
1106,5488,0.0006426086654074,0.013354633975007,SRGAP3
1107,5497,0.0005624386214053,0.0117643953350309,LHFPL4
1109,5499,1.93533389314382e-09,6.3248737849187e-08,CPNE9
1110,5502,0.0005022814770749,0.0105747227325078,CAMK1
1112,5504,0.0001607890018205,0.0035900134783529,ARPC4
1118,5521,1.61232250728283e-06,4.31580132527267e-05,BRK1
1121,5530,5.55e-17,3.0053560136053704e-15,ATP2B2
1122,5534,1.7811743191487e-09,5.82728324281746e-08,SLC6A1
1125,5542,5.55e-17,3.0053560136053704e-15,SYN2
1128,5552,5.55e-17,3.0053560136053704e-15,RPL32
1129,5554,2.2204460492503099e-16,1.00733054830801e-14,IQSEC1
1130,5557,5.55e-17,3.0053560136053704e-15,HDAC11
1132,5578,1.71460493055831e-05,0.0004185322753992,FGD5-AS1
1134,5580,8.90458211288969e-05,0.0020349057390901,MRPS25
1136,5584,5.0546899998948896e-11,1.8040259895772102e-09,SH3BP5
1138,5591,0.0001586256834437,0.0035442962752198,ANKRD28
1139,5595,8.81900521498835e-08,2.57933926651298e-06,RFTN1
1141,5605,1.18132110564773e-05,0.0002935057319882,TBC1D5
1142,5608,1.11022302462516e-16,5.3329264322189e-15,SATB1
1144,5617,0.0011848357687369,0.0237604505410901,ZNF385D
1146,5623,1.1763479079718299e-11,4.36633836449417e-10,UBE2E1
1148,5625,2.2204460492503099e-16,1.00733054830801e-14,RPL15
1150,5628,5.773159728050811e-15,2.4952224591115997e-13,THRB
1154,5658,3.24059708788349e-05,0.0007743583375784,STT3B
1158,5673,7.99627867698049e-07,2.20002850988066e-05,CRTAP
1159,5676,8.41231491133243e-08,2.46628141101584e-06,FBXL2
1161,5678,1.0325074129014e-14,4.40356373050387e-13,CLASP2
1163,5686,5.55e-17,3.0053560136053704e-15,ARPP21
1166,5699,1.99733043304562e-05,0.0004846476557154,GOLGA4
1171,5728,5.55e-17,3.0053560136053704e-15,RPSA
1172,5729,1.11022302462516e-16,5.3329264322189e-15,MOBP
1173,5730,0.0003658518644216,0.007801648592416,MYRIP
1174,5731,0.0006496305663066,0.0134822628272587,EIF1B
1175,5734,5.63504798378744e-12,2.12770941949427e-10,RPL14
1178,5745,5.55e-17,3.0053560136053704e-15,CCK
1180,5750,5.4714011099577e-12,2.06719329149649e-10,SEC22C
1182,5752,2.18755095193757e-06,5.79476589122461e-05,NKTR
1183,5757,5.55e-17,3.0053560136053704e-15,HHATL
1185,5771,0.0003609985055426,0.0077035171698786,POMGNT2
1186,5773,1.24235012921581e-05,0.000307670204873,SNRK
1190,5806,4.17247779660457e-08,1.25203531035342e-06,TMEM158
1192,5812,1.33634085131007e-07,3.86052999788153e-06,LZTFL1
1198,5850,0.0018319801174058,0.036018718119291,CSPG5
1200,5853,0.0003665103738268,0.00781297065546,MAP4
1201,5860,5.55e-17,3.0053560136053704e-15,PLXNB1
1202,5862,5.3152482415441695e-11,1.8959147480621e-09,TMA7
1203,5866,4.93466377136098e-05,0.0011601533190897,SHISA5
1204,5870,3.8181592332264805e-09,1.21918884685765e-07,UQCRC1
1205,5876,0.0006144767540305,0.0127960515506924,NCKIPSD
1208,5886,1.19154218714002e-08,3.68561342082944e-07,P4HTM
1209,5887,1.41553435639707e-13,5.722335664274489e-12,WDR6
1211,5889,7.33639815564402e-11,2.58969704645411e-09,NDUFAF3
1212,5890,0.0014395376198919,0.0286430955010799,IMPDH2
1216,5895,1.55507828836221e-10,5.40520165921651e-09,LAMB2
1218,5903,5.55e-17,3.0053560136053704e-15,RHOA
1221,5910,5.55e-17,3.0053560136053704e-15,BSN
1225,5922,1.11022302462516e-16,5.3329264322189e-15,CAMKV
1229,5934,5.55e-17,3.0053560136053704e-15,GNAI2
1230,5937,5.55e-17,3.0053560136053704e-15,SEMA3B
1235,5961,1.44640571964061e-07,4.16670177752519e-06,DOCK3
1239,5977,5.55e-17,3.0053560136053704e-15,PCBP4
1240,5979,3.72646941082522e-08,1.12370725498268e-06,ABHD14A
1241,5982,5.55e-17,3.0053560136053704e-15,RPL29
1246,5994,1.90852487860216e-05,0.000463650281168,BAP1
1247,5998,0.0002287549120966,0.0050053341718214,NISCH
1253,6027,0.0001340138192421,0.0030197130752391,SELENOK
1254,6028,5.9229128268611905e-09,1.87271318260752e-07,CACNA2D3
1255,6039,3.74197794761333e-05,0.0008886186610606,ERC2
1256,6043,1.12604494983959e-05,0.0002805688139158,ARHGEF3
1260,6063,6.712696620780891e-09,2.1136981227272e-07,ABHD6
1261,6067,5.55e-17,3.0053560136053704e-15,PXK
1264,6073,5.55e-17,3.0053560136053704e-15,FAM107A
1265,6083,1.88847053483876e-06,5.0242407470698e-05,PTPRG
1266,6084,0.0012722251025729,0.0254379735417382,C3orf14
1267,6086,5.55e-17,3.0053560136053704e-15,CADPS
1268,6088,6.66133814775094e-16,3.00640288920226e-14,SYNPR
1272,6113,0.0002008820640838,0.0044270880830864,MAGI1
1274,6116,5.55e-17,3.0053560136053704e-15,LRIG1
1275,6121,5.55e-17,3.0053560136053704e-15,FAM19A1
1282,6150,4.30113196170367e-08,1.28685754182627e-06,RYBP
1284,6156,3.43349961595685e-06,8.9291812632924e-05,PDZRN3
1286,6181,1.06273201350149e-08,3.29717624785898e-07,CADM2
1287,6188,9.44157978235438e-05,0.002152001394797,CHMP2B
1289,6203,5.55e-17,3.0053560136053704e-15,MTRNR2L12
1290,6206,1.1075060868392901e-09,3.66640081658585e-08,ARL6
1291,6224,1.11022302462516e-16,5.3329264322189e-15,CLDND1
1299,6254,5.55e-17,3.0053560136053704e-15,RPL24
1300,6256,1.1697309787450599e-12,4.5341350591499594e-11,NXPE3
1301,6263,5.55e-17,3.0053560136053704e-15,ALCAM
1302,6271,5.55e-17,3.0053560136053704e-15,BBX
1307,6304,5.55e-17,3.0053560136053704e-15,TAGLN3
1308,6311,2.39823938485983e-10,8.24233721698171e-09,CD200
1309,6314,4.23994173104347e-12,1.6058886027780501e-10,ATG3
1310,6315,2.0912949150186901e-10,7.211703577431231e-09,SLC35A5
1312,6335,5.55e-17,3.0053560136053704e-15,ATP6V1A
1313,6345,5.55e-17,3.0053560136053704e-15,ZBTB20
1314,6352,5.55e-17,3.0053560136053704e-15,GAP43
1316,6374,6.17306252814753e-06,0.0001573958294423,TIMMDC1
1317,6380,0.0003519332901509,0.0075205518735693,COX17
1318,6384,3.96420221138172e-06,0.0001026139975344,GSK3B
1319,6387,2.7709412542265e-09,8.9412174709503e-08,LRRC58
1320,6390,7.78223794739574e-07,2.14402867969305e-05,NDUFB4
1321,6395,6.20088881353453e-08,1.83463276903414e-06,STXBP5L
1325,6424,8.73941097268016e-09,2.73220495245413e-07,ADCY5
1326,6426,5.6176886475967105e-09,1.77896229452353e-07,HACD2
1327,6428,5.55e-17,3.0053560136053704e-15,MYLK
1328,6433,5.55e-17,3.0053560136053704e-15,KALRN
1329,6435,3.63717761292515e-05,0.0008640664524262,ITGB5
1334,6465,6.77383971237067e-05,0.0015702458350285,CHCHD6
1338,6476,1.52945869373866e-05,0.0003749823841367,ABTB1
1339,6477,5.55e-17,3.0053560136053704e-15,MGLL
1340,6479,6.943590147301389e-11,2.4567024443804103e-09,SEC61A1
1344,6501,1.38171738470749e-05,0.0003399850910525,CNBP
1347,6504,0.0014403955244103,0.028650857323347,H1FX
1354,6530,5.55e-17,3.0053560136053704e-15,CPNE4
1358,6547,2.2204460492503099e-16,1.00733054830801e-14,TF
1360,6549,5.55e-17,3.0053560136053704e-15,RAB6B
1361,6556,5.55e-17,3.0053560136053704e-15,AMOTL2
1363,6564,8.91830162117468e-05,0.0020372807889241,PCCB
1365,6583,1.18320751052448e-05,0.0002938552086266,MRAS
1369,6602,5.55e-17,3.0053560136053704e-15,RBP1
1370,6607,5.55e-17,3.0053560136053704e-15,CLSTN2
1376,6638,0.0020175987127309,0.0394151146856227,CHST2
1380,6684,5.55e-17,3.0053560136053704e-15,RNF13
1381,6685,5.55e-17,3.0053560136053704e-15,PFN2
1391,6748,8.881784197001249e-16,3.9503158757177104e-14,KCNAB1
1392,6752,3.08478644028831e-06,8.05996291298383e-05,SSR3
1395,6786,1.51623420319158e-06,4.06392451329984e-05,C3orf80
1397,6791,0.0017974059041376,0.0353502999595466,KPNA4
1398,6794,2.73317699583941e-08,8.34870138195478e-07,PPM1L
1401,6819,5.55e-17,3.0053560136053704e-15,SERPINI1
1402,6821,0.0006298223188542,0.0130977982038035,GOLIM4
1403,6841,5.55e-17,3.0053560136053704e-15,SEC62
1406,6850,2.2204460492503099e-16,1.00733054830801e-14,CLDN11
1407,6852,9.2476070068237e-07,2.53179727946214e-05,SLC7A14
1411,6866,3.25406368517633e-13,1.2932692667334698e-11,NCEH1
1415,6907,1.8106286753361e-05,0.0004407418648736,NDUFB5
1416,6909,1.00640618195813e-05,0.000252195679302,PEX5L
1418,6920,8.36751762944843e-06,0.0002114119675727,FXR1
1422,6943,9.9031893796564e-14,4.02464315286168e-12,KLHL24
1428,6959,5.55e-17,3.0053560136053704e-15,AP2M1
1431,6965,4.9541815094755696e-11,1.7702175582270302e-09,CAMK2N2
1432,6967,0.0001187119279337,0.0026867800413781,PSMD2
1434,6969,5.55e-17,3.0053560136053704e-15,FAM131A
1442,6994,0.0019239217464243,0.0377053459191621,ETV5
1443,7010,5.55e-17,3.0053560136053704e-15,EIF4A2
1445,7024,2.2204460492503099e-16,1.00733054830801e-14,SST
1446,7057,5.55e-17,3.0053560136053704e-15,FGF12
1448,7076,1.91306026575688e-09,6.25541924251854e-08,HES1
1451,7102,5.55e-17,3.0053560136053704e-15,APOD
1454,7118,0.0011720629680267,0.0235351327684504,TCTEX1D2
1456,7131,0.0003729520952793,0.0079419969744029,PIGX
1457,7133,8.881784197001249e-16,3.9503158757177104e-14,PAK2
1462,7141,7.452625627735191e-09,2.34187124493329e-07,DLG1
1463,7147,1.28000892789526e-05,0.000316484569041,BDH1
1466,7156,5.55e-17,3.0053560136053704e-15,RPL35A
1467,7167,0.0001557133266297,0.0034817637416429,AC116565.1
1468,7172,5.55e-17,3.0053560136053704e-15,ATP5ME
1470,7180,5.55e-17,3.0053560136053704e-15,CPLX1
1474,7195,9.10260088183845e-05,0.0020762840052303,CTBP1
1478,7207,0.0009241654273548,0.0187789807743949,FGFR3
1479,7208,0.0009491049069539,0.0192538087365696,LETM1
1481,7211,5.55e-17,3.0053560136053704e-15,C4orf48
1482,7212,5.55e-17,3.0053560136053704e-15,NAT8L
1483,7216,0.0001553339391415,0.0034745491504903,MXD4
1489,7232,5.55e-17,3.0053560136053704e-15,RGS12
1490,7235,0.000296864705602,0.0064154078150369,LRPAP1
1491,7242,4.88671547671515e-10,1.64985325658126e-08,TMEM128
1492,7246,5.55e-17,3.0053560136053704e-15,NSG1
1493,7255,2.2204460492503099e-16,1.00733054830801e-14,CRMP1
1494,7257,4.65457206508813e-05,0.0010976739475398,JAKMIP1
1496,7261,1.51746171184186e-10,5.2804461940253e-09,PPP2R2C
1498,7263,0.0004596401171987,0.0096969786288137,MRFAP1
1504,7282,1.2523315717771799e-13,5.0827135817211594e-12,ABLIM2
1505,7323,1.74070730498688e-05,0.000424396373719,WDR1
1507,7349,1.77458048256085e-12,6.818250157970409e-11,CPEB2
1508,7355,0.0006749979700007,0.0139803064013748,FBXL5
1509,7356,3.18833465995372e-06,8.32696234741366e-05,FAM200B
1511,7366,5.55e-17,3.0053560136053704e-15,LDB2
1512,7369,5.55e-17,3.0053560136053704e-15,QDPR
1515,7382,7.8025777838775e-08,2.29411077377451e-06,SLIT2
1516,7384,5.55e-17,3.0053560136053704e-15,KCNIP4
1517,7399,0.0024466303501737,0.0472092372819445,DHX15
1519,7418,5.55e-17,3.0053560136053704e-15,RBPJ
1520,7434,5.55e-17,3.0053560136053704e-15,PCDH7
1521,7446,5.78015413310595e-12,2.17847009090327e-10,ARAP2
1523,7475,0.0004185487228013,0.0088606000735943,RFC1
1524,7477,2.61332511186652e-10,8.961434497597351e-09,RPL9
1525,7481,0.0025023598070605,0.0482086284072236,SMIM14
1528,7493,5.55e-17,3.0053560136053704e-15,APBB2
1529,7496,5.55e-17,3.0053560136053704e-15,UCHL1
1530,7497,5.55e-17,3.0053560136053704e-15,LIMCH1
1533,7512,5.55e-17,3.0053560136053704e-15,ATP8A1
1534,7527,6.46255553715669e-06,0.0001645031478817,GABRG1
1536,7531,1.11022302462516e-16,5.3329264322189e-15,GABRA4
1537,7547,5.55e-17,3.0053560136053704e-15,FRYL
1538,7548,0.001658160790357,0.0327695601992753,OCIAD1
1539,7550,3.28065725196947e-05,0.0007830144111764,OCIAD2
1541,7555,4.20774526332934e-14,1.74239579121635e-12,SGCB
1543,7563,0.0001243222978384,0.0028085687453239,RASL11B
1545,7568,2.2204460492503099e-16,1.00733054830801e-14,LNX1
1546,7574,1.41515167806361e-07,4.08050604773944e-06,PDGFRA
1547,7587,5.55e-17,3.0053560136053704e-15,TMEM165
1552,7604,5.55e-17,3.0053560136053704e-15,HOPX
1554,7610,7.92473715294228e-06,0.0002004728777472,IGFBP7
1556,7635,6.51371734328166e-10,2.1883046729881e-08,EPHA5
1558,7651,3.1958879986859795e-11,1.15270827947151e-09,YTHDC1
1561,7690,0.0002521084602159,0.0054947336775133,MOB1B
1565,7724,5.55e-17,3.0053560136053704e-15,PARM1
1567,7737,2.9976021664879203e-15,1.30573252083311e-13,G3BP2
1570,7749,5.55e-17,3.0053560136053704e-15,SCARB2
1571,7758,4.7878555221037e-05,0.0011278029761708,SEPT11
1572,7759,5.55e-17,3.0053560136053704e-15,CCNI
1576,7780,4.56301663120939e-14,1.8856860820806398e-12,PRDM8
1579,7790,5.55e-17,3.0053560136053704e-15,HNRNPDL
1580,7791,5.225776478212651e-09,1.65742583292141e-07,ENOPH1
1582,7794,5.55e-17,3.0053560136053704e-15,SCD5
1584,7799,0.0012184022662784,0.0244016258972881,COPS4
1586,7811,8.151257446797899e-13,3.18581946256048e-11,CDS1
1588,7815,5.55e-17,3.0053560136053704e-15,MAPK10
1590,7829,5.55e-17,3.0053560136053704e-15,SPARCL1
1591,7835,1.11022302462516e-16,5.3329264322189e-15,SPP1
1595,7847,5.55e-17,3.0053560136053704e-15,NAP1L5
1596,7849,2.9086217878671e-09,9.38053991720875e-08,FAM13A
1597,7854,5.55e-17,3.0053560136053704e-15,SNCA
1598,7885,1.0481579937327e-08,3.25856262721022e-07,RAP1GDS1
1601,7893,0.0005387462561228,0.0113113224683557,ADH5
1604,7909,3.33760783455261e-08,1.01343279845346e-06,H2AFZ
1605,7914,5.55e-17,3.0053560136053704e-15,PPP3CA
1608,7944,0.0003277580272877,0.007033393501495,PPA2
1609,7954,2.21780016573803e-09,7.2133605303026e-08,AIMP1
1610,7959,1.07663723381002e-07,3.13244058749079e-06,PAPSS1
1612,7967,5.55e-17,3.0053560136053704e-15,RPL34
1614,7969,2.3413375682679304e-09,7.59902163776099e-08,ETNPPL
1617,8004,2.01232154732889e-05,0.0004880918349835,LARP7
1618,8007,9.7133581866693e-07,2.65219637993416e-05,ANK2
1619,8011,5.55e-17,3.0053560136053704e-15,CAMK2D
1620,8014,5.55e-17,3.0053560136053704e-15,UGT8
1621,8024,5.91562102452148e-05,0.0013786071623753,SNHG8
1622,8032,3.493582478864e-08,1.0566022249393e-06,C4orf3
1623,8048,5.55e-17,3.0053560136053704e-15,ANXA5
1624,8054,7.86609479774825e-08,2.31056752080082e-06,BBS7
1626,8082,9.79295156078308e-09,3.05377946572986e-07,HSPA4L
1628,8112,1.11022302462516e-16,5.3329264322189e-15,PCDH10
1629,8146,5.995204332975851e-15,2.58754041478697e-13,NDUFC1
1631,8156,9.61980157911935e-05,0.0021901778467019,SCOC
1632,8162,3.7801650698554593e-11,1.3586472744787701e-09,TBC1D9
1633,8179,6.38646937112242e-07,1.76984041264251e-05,SMARCA5
1637,8233,5.55e-17,3.0053560136053704e-15,RPS3A
1639,8252,5.55e-17,3.0053560136053704e-15,FBXW7
1640,8260,5.55e-17,3.0053560136053704e-15,TRIM2
1641,8264,5.91526827520283e-13,2.3297515009227897e-11,RNF175
1642,8282,1.42073353082139e-09,4.67302927059103e-08,MAP9
1643,8285,5.55e-17,3.0053560136053704e-15,GUCY1B1
1644,8295,1.11022302462516e-16,5.3329264322189e-15,GLRB
1645,8296,5.55e-17,3.0053560136053704e-15,GRIA2
1646,8299,5.91163223864211e-05,0.0013782020249142,FAM198B
1647,8302,5.55e-17,3.0053560136053704e-15,TMEM144
1651,8315,1.28625444051345e-06,3.47029646200627e-05,FSTL5
1652,8324,5.47782679218844e-05,0.0012809681895616,MARCH1
1653,8334,0.0001802511117894,0.0040012141799581,KLHL2
1655,8337,5.55e-17,3.0053560136053704e-15,CPE
1656,8341,5.55e-17,3.0053560136053704e-15,SPOCK3
1659,8360,6.7212901910807e-13,2.6404143163138497e-11,MFAP3L
1660,8376,1.11022302462516e-16,5.3329264322189e-15,SCRG1
1661,8391,5.55e-17,3.0053560136053704e-15,GLRA3
1662,8396,5.55e-17,3.0053560136053704e-15,GPM6A
1665,8421,0.0001983204475524,0.0043753578593845,TENM3
1668,8450,5.55e-17,3.0053560136053704e-15,ACSL1
1669,8457,5.55e-17,3.0053560136053704e-15,SLC25A4
1670,8468,1.11022302462516e-16,5.3329264322189e-15,SORBS2
1672,8515,5.30375408036576e-08,1.57835087752001e-06,SDHA
1675,8525,5.55e-17,3.0053560136053704e-15,TPPP
1683,8594,5.55e-17,3.0053560136053704e-15,UBE2QL1
1684,8597,1.18651727287755e-06,3.21679497415988e-05,SRD5A1
1685,8611,0.0001708554448547,0.0038036783159259,ADCY2
1688,8643,0.001565968753299,0.0310423113902468,MARCH6
1691,8662,1.74888030279874e-07,5.00742956807234e-06,TRIO
1694,8678,2.08277839419679e-13,8.331696102693919e-12,RETREG1
1695,8681,5.55e-17,3.0053560136053704e-15,MYO10
1696,8682,5.55e-17,3.0053560136053704e-15,BASP1
1700,8744,1.64313007644523e-14,6.92583081734141e-13,PDZD2
1707,8788,0.0006998150459988,0.0144747281424797,LMBRD2
1709,8793,6.25628704398196e-09,1.97448996096647e-07,SLC1A3
1710,8815,5.55e-17,3.0053560136053704e-15,LIFR
1711,8821,0.0005834371600497,0.012174511060797,RICTOR
1712,8832,5.55e-17,3.0053560136053704e-15,RPL37
1713,8838,9.99200722162641e-15,4.26448298325519e-13,OXCT1
1714,8844,1.11022302462516e-16,5.3329264322189e-15,SELENOP
1715,8855,5.55111512312578e-16,2.51088670645462e-14,HMGCS1
1717,8863,0.0004329683927686,0.0091532061949716,NNT
1718,8871,6.82187557432545e-06,0.0001732894531275,MRPS30
1720,8874,2.2204460492503099e-16,1.00733054830801e-14,HCN1
1721,8894,5.47522007510182e-07,1.52282435208829e-05,MOCS2
1724,8917,1.28274169064468e-10,4.4763871136159405e-09,PLPP1
1725,8921,4.54229986956989e-11,1.6239923769540602e-09,IL6ST
1727,8941,4.37980955880768e-06,0.0001129900133767,AC008780.2
1728,8945,2.8000268770256298e-11,1.0141078396433801e-09,PLK2
1729,8948,5.55e-17,3.0053560136053704e-15,RAB3C
1731,8954,0.0010525632522736,0.0212190522226586,PART1
1738,8987,8.881784197001249e-16,3.9503158757177104e-14,SGTB
1739,8990,5.55e-17,3.0053560136053704e-15,ERBIN
1742,9005,1.11022302462516e-16,5.3329264322189e-15,PIK3R1
1746,9022,6.43951718788394e-05,0.0014954504225486,TAF9
1748,9042,5.55e-17,3.0053560136053704e-15,CARTPT
1749,9043,5.55e-17,3.0053560136053704e-15,MAP1B
1751,9050,0.0011777221613305,0.0236410187395611,TNPO1
1752,9064,0.0001997265157247,0.0044047918809215,BTF3
