platform,n_spot,SpaSEG,SpaGCN,BayesSpace,Leiden
MERFISH,6412,1.2,1.5,2.6,0.33
seqFISH,19416,11.5,3.2,10.5,1.1
Slide-SeqV2,53208,10.9,42.4,33.3,4
Bin50,84724,4.2,110,,5.2
Bin20,526716,12.1,,,32
